100130426,0.51
100133144,0.46
100134869,0.46
10357,0.5
10431,0.41
136542,0.5
155060,0.43
26823,0.46
280660,0.5
317712,0.5
340602,0.49
388795,0.43
390284,0.41
391343,0.43
391714,0.5
404770,0.5
441362,0.5
442388,0.5
553137,0.46
57714,0.46
645851,0.44
652919,0.49
653553,0.4
728045,0.5
728603,0.51
728788,0.53
729884,0.4
8225,0.51
90288,0.39
A1BG,0.38
A1CF,0.64
A2BP1,0.58
A2LD1,0.54
A2ML1,0.42
A2M,0.49
A4GALT,0.44
A4GNT,0.49
AAA1,0.54
AAAS,0.47
AACSL,0.48
AACS,0.45
AADACL2,0.51
AADACL3,0.47
AADACL4,0.5
AADAC,0.49
AADAT,0.55
AAGAB,0.42
AAK1,0.45
AAMP,0.49
AANAT,0.54
AARS2,0.45
AARSD1,0.45
AARS,0.51
AASDHPPT,0.48
AASDH,0.44
AASS,0.47
AATF,0.48
AATK,0.56
ABAT,0.52
ABCA10,0.44
ABCA11P,0.45
ABCA12,0.42
ABCA13,0.5
ABCA17P,0.45
ABCA1,0.52
ABCA2,0.53
ABCA3,0.42
ABCA4,0.36
ABCA5,0.47
ABCA6,0.41
ABCA7,0.43
ABCA8,0.5
ABCA9,0.42
ABCB10,0.48
ABCB11,0.5
ABCB1,0.61
ABCB4,0.53
ABCB5,0.45
ABCB6,0.47
ABCB7,0.51
ABCB8,0.48
ABCB9,0.45
ABCC10,0.47
ABCC11,0.39
ABCC12,0.38
ABCC13,0.51
ABCC1,0.47
ABCC2,0.54
ABCC3,0.6
ABCC4,0.57
ABCC5,0.4
ABCC6P1,0.59
ABCC6P2,0.55
ABCC6,0.54
ABCC8,0.44
ABCC9,0.47
ABCD1,0.49
ABCD2,0.52
ABCD3,0.47
ABCD4,0.51
ABCE1,0.48
ABCF1,0.45
ABCF2,0.49
ABCF3,0.42
ABCG1,0.47
ABCG2,0.55
ABCG4,0.54
ABCG5,0.54
ABCG8,0.55
ABHD10,0.48
ABHD11,0.46
ABHD12B,0.54
ABHD12,0.49
ABHD13,0.5
ABHD14A,0.45
ABHD14B,0.49
ABHD15,0.49
ABHD1,0.44
ABHD2,0.52
ABHD3,0.49
ABHD4,0.46
ABHD5,0.41
ABHD6,0.62
ABHD8,0.42
ABI1,0.47
ABI2,0.46
ABI3BP,0.48
ABI3,0.52
ABL1,0.5
ABL2,0.41
ABLIM1,0.51
ABLIM2,0.6
ABLIM3,0.48
ABO,0.57
ABP1,0.59
ABRA,0.52
ABR,0.59
ABT1,0.47
ABTB1,0.47
ABTB2,0.55
ACAA1,0.48
ACAA2,0.58
ACACA,0.43
ACACB,0.5
ACAD10,0.48
ACAD11,0.47
ACAD8,0.49
ACAD9,0.43
ACADL,0.49
ACADM,0.5
ACADSB,0.43
ACADS,0.58
ACADVL,0.5
ACAN,0.56
ACAP1,0.46
ACAP2,0.45
ACAP3,0.47
ACAT1,0.53
ACAT2,0.52
ACBD3,0.42
ACBD4,0.49
ACBD5,0.54
ACBD6,0.43
ACBD7,0.48
ACCN1,0.54
ACCN2,0.56
ACCN3,0.44
ACCN4,0.5
ACCN5,0.49
ACCSL,0.51
ACCS,0.43
ACD,0.52
ACE2,0.61
ACER1,0.43
ACER2,0.47
ACER3,0.52
ACE,0.54
ACHE,0.62
ACIN1,0.39
ACLY,0.5
ACMSD,0.47
ACN9,0.55
ACO1,0.54
ACO2,0.56
ACOT11,0.63
ACOT12,0.53
ACOT13,0.5
ACOT1,0.42
ACOT2,0.44
ACOT4,0.4
ACOT6,0.45
ACOT7,0.58
ACOT8,0.53
ACOT9,0.52
ACOX1,0.51
ACOX2,0.53
ACOX3,0.42
ACOXL,0.44
ACP1,0.48
ACP2,0.44
ACP5,0.43
ACP6,0.47
ACPL2,0.47
ACPP,0.51
ACPT,0.48
ACRBP,0.5
ACRC,0.46
ACR,0.48
ACRV1,0.49
ACSBG1,0.53
ACSBG2,0.46
ACSF2,0.43
ACSF3,0.55
ACSL1,0.47
ACSL3,0.43
ACSL4,0.53
ACSL5,0.57
ACSL6,0.59
ACSM1,0.42
ACSM2A,0.51
ACSM2B,0.52
ACSM3,0.55
ACSM4,0.49
ACSM5,0.5
ACSS1,0.52
ACSS2,0.57
ACSS3,0.47
ACTA1,0.41
ACTA2,0.47
ACTBL2,0.42
ACTB,0.5
ACTC1,0.6
ACTG1,0.46
ACTG2,0.54
ACTL6A,0.45
ACTL6B,0.56
ACTL7A,0.51
ACTL7B,0.49
ACTL8,0.5
ACTL9,0.5
ACTN1,0.48
ACTN2,0.5
ACTN3,0.48
ACTN4,0.53
ACTR10,0.44
ACTR1A,0.42
ACTR1B,0.5
ACTR2,0.48
ACTR3B,0.47
ACTR3C,0.47
ACTR3,0.49
ACTR5,0.46
ACTR6,0.42
ACTR8,0.47
ACTRT1,0.5
ACTRT2,0.5
ACVR1B,0.51
ACVR1C,0.53
ACVR1,0.43
